Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Florida,Lake County Schools,Fall 2022,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Florida,School District of Manatee County,July 2022,Legislative Action,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Florida,School District of Osceola County,March 2023,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Florida,Volusia County Schools,June 2023,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Maine,Maine School Administrative District #6,April 2023,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Missouri,Willard Public Schools,January 2023,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,North Carolina,Pender County Schools,February 2023,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,North Dakota,Williston Basin School District #7,September 2022,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Oregon,Canby Public School District,March 2023,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries,,,,Oregon,West Linn-Wilsonville School District,November 2022,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Virginia,Hanover County Public Schools,June 2023,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries,,,,Virginia,Spotsylvania County Public Schools,February 2023,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Virginia,Williamsburg-James City Public Schools,May 2023,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,July 2022,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Florida,Flagler Schools,October 2022,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,March 2023,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,October 2022,Administration,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Utah,Alpine School District,November 2022,Legislative Action,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Utah,Davis School District,February 2023,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,Utah,Granite School District,November 2022,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Utah,Jordan School District,AY 2022-2023,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,Utah,Washington County School District,July 2022,Informal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,Wisconsin,School District of Somerset,February 2023,Formal Challenge,2022-2023
"Andrews, V.C.",Flowers in the Attic,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Andrews, V.C.",Flowers in the Attic,Banned from Libraries,,,,Florida,School District of Manatee County,July 2022,Legislative Action,2022-2023
